login_duration_ms,keystroke_avg_interval,mouse_event_count,typing_speed_wpm,is_new_device,is_new_ip,is_unusual_hour,geo_distance_km,autofill_detected,amount_normalised,label
4583.881679938858,93.42565775283033,11.0,42.035183642056936,0.0,0.0,0.0,71.03763656583597,0.0,0.8843298394074252,0
6193.897161847456,70.94280808356618,18.0,31.23547314961523,0.0,0.0,0.0,19.766204336668217,0.0,0.7197529413274021,0
2718.5307794263513,158.18305668230207,26.0,45.56371435559397,0.0,0.0,0.0,45.336680594877144,0.0,1.3193411382457536,0
7249.096851776725,214.81480996170097,16.0,46.51537364685083,0.0,0.0,0.0,20.548636699650245,0.0,1.0970422250477014,0
4848.4829511235685,138.48454804524897,23.0,44.35950186685787,1.0,0.0,0.0,16.154935609232474,0.0,0.9963910240303161,0
6229.585060473122,119.27125651828851,15.0,45.02095576140395,0.0,0.0,0.0,12.159388283711046,0.0,0.9431235812157708,0
4028.2500500149085,101.11510919085637,17.0,16.745392628497278,1.0,0.0,0.0,10.5725813703012,0.0,0.8197910116691989,0
5239.91844499356,72.88851328080837,20.0,34.226355059616296,0.0,0.0,0.0,34.411771106173774,0.0,1.779708443437166,0
5056.143128416492,141.35036017409882,15.0,60.369279793718036,0.0,0.0,0.0,8.78719157146439,0.0,1.4199987357720345,0
4895.950541976847,123.79467475277626,30.0,62.594433835508184,0.0,0.0,0.0,29.587203315497927,0.0,0.9832944842050018,0
731.4557552963302,43.94521472723763,2.0,10.781633093833365,1.0,1.0,1.0,1483.8763482833187,0.0,1.795480738932569,1
500.0,139.63682849824613,26.0,34.06005148597496,0.0,0.0,0.0,39.64713636598637,0.0,0.9315654454853081,0
8219.9392862114,184.27052629855854,14.0,37.41497012629307,0.0,0.0,0.0,8.422002025521355,0.0,1.4649671698387379,0
8097.807430343165,258.3264365566598,1.0,53.34452577432778,0.0,1.0,0.0,6.203164906556818,0.0,1.0389346967385529,0
175.83949775751097,0.0,0.0,0.0,1.0,0.0,0.0,49.463553305070626,1.0,1.9712010212238076,1
3005.306502559464,153.62572319987495,25.0,59.942311845224765,0.0,0.0,0.0,22.267999114729342,0.0,1.0517521565155223,0
5921.802157566894,126.39230346490447,12.0,41.3403213754428,0.0,0.0,0.0,28.277808626993767,0.0,1.147689073581411,0
207.2637370909517,0.0,0.0,0.0,0.0,0.0,0.0,48.180853237554075,1.0,2.0304133735854366,1
6287.551336527441,190.23776495915928,21.0,44.759982151839445,0.0,0.0,0.0,26.620889155656243,0.0,0.34147606642801476,0
604.2162441187493,117.96673514688634,26.0,46.775711894689465,0.0,0.0,0.0,31.768228232240354,0.0,0.9948832528328548,0
7493.352607817862,123.3117265209199,10.0,67.17371653739525,0.0,0.0,0.0,35.39897218372768,0.0,0.842536447557388,0
8361.055830257814,155.17606448248262,24.0,34.28147993762737,0.0,0.0,0.0,12.675526088937753,0.0,0.6205923100900064,0
4937.715583284822,107.1461576852857,25.0,16.239170766633116,0.0,0.0,0.0,15.427974937896767,0.0,1.6510372428792535,0
6273.313012507665,97.23701343999821,27.0,36.86951984511721,0.0,0.0,0.0,48.70761533918659,0.0,1.107913449671232,0
